id;marque;type;moteur;puissance;place;autonomie;usage;heures;image;image_content_type
1;a systems;FTP;best-of-breed mesh;74123;99979;78425;de firewall;46331;../fake-data/blob/hipster.png;image/png
2;navigating Serbie application;Paix Turkménistan;Metal Midi-Pyrénées invoice;45642;80230;85382;b Toys Basse-Normandie;6359;../fake-data/blob/hipster.png;image/png
3;Soft Boétie;brand;Coordinateur;21557;42970;40499;copy Assistant turquoise;23163;../fake-data/blob/hipster.png;image/png
4;Gorgeous;AI Reverse-engineered web-enabled;centrafricaine;40240;6323;92518;Expanded bus;62383;../fake-data/blob/hipster.png;image/png
5;Berkshire Administrateur;Towels b;withdrawal Metal dynamic;52217;60360;81655;quantifying c;67963;../fake-data/blob/hipster.png;image/png
6;national;b invoice;generation;42866;144;55529;deposit Saint-Denis Poitou-Charentes;79070;../fake-data/blob/hipster.png;image/png
7;Tuvalu quantify;Borders haptic;functionalities;41520;72353;25938;Loire channels;79495;../fake-data/blob/hipster.png;image/png
8;efficient salmon extend;pixel port b;system-worthy Small;8260;61998;55008;compress;30391;../fake-data/blob/hipster.png;image/png
9;Shirt;Loan Turkménistan Kids;hack;67968;54421;75985;Bretagne adapter Refined;74070;../fake-data/blob/hipster.png;image/png
10;deposit b;moderator;Loan;77133;77589;63879;SMS;80573;../fake-data/blob/hipster.png;image/png
